,songs,artists,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,clusters
117,Time Consuming,Snoozegod,spotify:track:7h3TP14K4trKSjIAX2KdWj,0.757,0.461,-9.477,0.0313,0.265,0.12300000000000001,0.353,108.999,5
118,enjoy the rain,l'Outlander,spotify:track:7Kd1JWvmqjf35Jrr3igX95,0.736,0.18899999999999997,-14.269,0.043,0.644,0.924,0.195,85.005,13
119,Forgive Me,Zmeyev,spotify:track:0k47m9hEz8CvoZRlaKwvxw,0.787,0.166,-23.875,0.513,0.777,0.29100000000000004,0.34299999999999997,81.97399999999999,6
120,Connected,Hoffy Beats,spotify:track:5wVTJYRl4wmjz3n4rMxbRe,0.8190000000000001,0.26899999999999996,-11.507,0.0576,0.731,0.927,0.29600000000000004,129.94799999999998,2
121,Evening Beach,Zmeyev,spotify:track:7tZqf6gDV2p8ubRglD2ONo,0.376,0.564,-6.574,0.043,0.0452,0.703,0.637,161.003,11
122,Backyard Gardens,coldbrew,spotify:track:1DBe8QicDCFsVMkWky11FH,0.8959999999999999,0.45299999999999996,-12.08,0.0641,0.183,0.619,0.9329999999999999,137.957,0
123,Daydream,a boy with a balloon,spotify:track:7hCn3zD9FIrhnFwlIrnljr,0.885,0.258,-13.107000000000001,0.111,0.614,0.65,0.48700000000000004,75.013,13
124,The Ending,Project AER,spotify:track:32Th4x5gm76vwVpB3oJVrD,0.691,0.15,-19.959,0.0339,0.9329999999999999,0.9009999999999999,0.195,134.039,2
125,Sundays,Yasumu,spotify:track:1vaLtlolIcllt16BWd6Akf,0.569,0.247,-19.125999999999998,0.0712,0.7809999999999999,0.884,0.318,170.014,2
126,The Beginning,Project AER,spotify:track:6t68lkLl7M9cM89GZsE8Yc,0.534,0.253,-17.424,0.0374,0.623,0.938,0.18600000000000003,134.004,2
127,After Hours,softy,spotify:track:2VpQcDWXbvkdwAxeWx89Kl,0.624,0.425,-9.207,0.0399,0.9470000000000001,0.688,0.10300000000000001,68.0,13
128,Rosemary,Phlocalyst,spotify:track:3NnjXzJV3COUw0UVBwcsZi,0.765,0.14800000000000002,-12.357999999999999,0.0494,0.9490000000000001,0.941,0.415,83.03,13
129,Cloud Curtain,Just Steezy Things,spotify:track:40j8NZbcRCCPlPkf09tmWE,0.596,0.17300000000000001,-18.157,0.0415,0.862,0.935,0.14300000000000002,150.013,2
