,songs,artists,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
1516,Mein Herz brennt,Rammstein,spotify:track:7lI4CE7mlyYyrPTMHzLF1x,0.501,0.76,-5.802,0.0343,0.00268,0.0616,0.138,83.046
1517,Du riechst so gut,Rammstein,spotify:track:35OOosZ9qzXNIcnAQaoQc5,0.67,0.755,-7.416,0.031,0.000358,0.244,0.813,111.984
1518,Engel,Rammstein,spotify:track:4L58FgCh0T0WNG0UIqxK4E,0.637,0.658,-5.775,0.0291,0.00918,0.00229,0.328,96.072
1519,Links 2 3 4,Rammstein,spotify:track:5avoM8tO2AEUSNbGiRCY0u,0.624,0.904,-4.774,0.0479,0.00112,0.0231,0.649,130.153
1520,Only You - The Platters,Compilation Les Années 50 : la légende américaine,spotify:track:5jDsJoED5RtFlVIA9omOS7,0.425,0.435,-5.25,0.0264,0.925,0.0,0.345,80.768
1521,Shine,Collective Soul,spotify:track:1HZ3cUZUw5htSFmah1V8Ko,0.54,0.423,-8.799,0.0283,0.294,0.0884,0.353,150.135
1522,Da Ya Think I'm Sexy?,Rod Stewart,spotify:track:4z7maGZkAonDlXlwo8q69f,0.715,0.689,-8.065,0.029,0.0143,0.000192,0.852,111.504
1523,Rock the Casbah - Remastered,The Clash,spotify:track:56KqaFSGTb7ifpt16t5Y1N,0.796,0.872,-6.722,0.0573,0.287,0.0,0.866,129.894
1524,Strange Brew,Cream,spotify:track:3ET8TZWF5sP4SPfJK1lKun,0.62,0.398,-15.676,0.0303,0.556,6.91e-06,0.677,106.265
1525,(We're Gonna) Rock Around The Clock - Single Version,Bill Haley & His Comets,spotify:track:2XBsQSZqHPPAtZpRG6TvIm,0.799,0.646,-12.579,0.146,0.354,8.41e-06,0.763,89.858
1526,Jailhouse Rock,Elvis Presley,spotify:track:4gphxUgq0JSFv2BCLhNDiE,0.647,0.582,-9.538,0.0755,0.41,1.93e-06,0.915,167.396
1527,Johnny B. Goode,Chuck Berry,spotify:track:4Hbe0lRKsXtDZ2wQIovz7I,0.522,0.806,-9.097,0.0817,0.748,5.48e-05,0.969,168.078
1528,She Loves You - Mono / Remastered,The Beatles,spotify:track:6nEkxYIEnrbYH7h1hJ8Xn6,0.377,0.916,-3.199,0.0481,0.26,0.0,0.912,75.533
1529,Satisfaction,The Rolling Stones,spotify:track:35thcN54eTXmPva6BF6WbM,0.719,0.857,-7.978,0.035,0.0355,0.0401,0.923,136.305
1530,Piece Of My Heart,Janis Joplin,spotify:track:1eujVQsT9v7ZTtvAkTEdZr,0.429,0.665,-9.681,0.14,0.406,0.00011,0.543,160.499
1531,Don't Eat The Yellow Snow,Frank Zappa,spotify:track:1QY4TdhuNIOX2SHLdElzd5,0.747,0.672,-10.867,0.112,0.187,0.0459,0.742,137.392
1532,I Love Rock 'N' Roll (Remastered) - Live,Joan Jett & The Blackhearts,spotify:track:3WzKJlUiNoVSog0GuP8K1g,0.629,0.656,-10.572,0.0978,0.604,0.0,0.672,98.316
1533,Don't Look Back In Anger - Remastered,Oasis,spotify:track:7CVYxHq1L0Z4G84jTDS6Jl,0.333,0.922,-4.087,0.0592,0.0596,2.05e-06,0.335,162.978
1534,Intergalactic - Remastered,Beastie Boys,spotify:track:5fpizYGbi5IQoEraj6FP0R,0.734,0.864,-6.119,0.303,0.022,9.85e-06,0.47,105.932
1535,It's Only Rock'n'Roll (But I Like It) - 2009 Re-Mastered Digital Version,The Rolling Stones,spotify:track:0DAeKfJBiLBUVyNJdpz2lH,0.616,0.957,-3.966,0.0508,0.501,0.0115,0.778,128.517
1536,Billie Jean,Michael Jackson,spotify:track:6vR5u5b8JeRESx5nZaIWx6,0.92,0.579,-5.517,0.0414,0.0168,0.053,0.838,117.084
1537,Tears in Heaven,Eric Clapton,spotify:track:7utRJ4BeYx85khzP3lKoBX,0.498,0.242,-12.238,0.0257,0.835,0.536,0.312,153.744
1538,Communication Breakdown - Remaster,Led Zeppelin,spotify:track:6GXlXAfXR7C6u1VjR3VMsm,0.384,0.95,-7.264,0.149,0.161,7.15e-06,0.454,175.055
1539,Bad Moon Rising,Creedence Clearwater Revival,spotify:track:2Sc2fikZMUod9wXnwTTzFx,0.508,0.774,-5.973,0.0321,0.0586,4.87e-06,0.942,178.946
1540,Rockin' in the Free World,Neil Young,spotify:track:4Y7fEQ4PAzhlLnLviRw2P4,0.491,0.883,-4.986,0.0306,0.000736,3.19e-05,0.518,131.75
1541,Here Comes Your Man,Pixies,spotify:track:0cs671lxX2eoDzr2KMuo3N,0.669,0.783,-12.302,0.0295,0.0475,0.0296,0.896,124.518
1542,I Want to Know What Love Is - 1999 Remaster,Foreigner,spotify:track:1JLn8RhQzHz3qDqsChcmBl,0.477,0.471,-10.036,0.0277,0.193,1.76e-06,0.423,81.204
1543,Hypnotize,System Of A Down,spotify:track:6oO7WMjD6kEvCITLbVj0mu,0.274,0.92,-4.096,0.0489,0.0303,0.000412,0.0397,153.986
1544,Madness,Muse,spotify:track:0c4IEciLCDdXEhhKxj4ThA,0.502,0.417,-7.665,0.0718,0.127,0.00419,0.218,180.301
1545,Somebody That I Used To Know,Gotye,spotify:track:4wCmqSrbyCgxEXROQE6vtV,0.864,0.495,-7.036,0.037,0.591,0.000133,0.72,129.062
1546,Wild Side,Mötley Crüe,spotify:track:41wWrTueWew7qUU0Ru87Mp,0.596,0.896,-4.635,0.0382,0.00742,0.00057,0.456,115.092
1547,Sweet Dreams (Are Made of This) - Remastered,Eurythmics,spotify:track:1TfqLAPs4K3s2rJMoCokcS,0.692,0.711,-7.498,0.0317,0.225,0.0,0.875,125.135
1548,Here Comes The Sun - Remastered,The Beatles,spotify:track:45yEy5WJywhJ3sDI28ajTm,0.557,0.54,-10.484,0.0347,0.0339,0.00248,0.394,129.171
1549,Broken Wings,Mr. Mister,spotify:track:63nVsCAdxu9OdeRhe58wiE,0.286,0.473,-15.646,0.0388,0.115,4.23e-05,0.449,99.233
1550,Magic,Pilot,spotify:track:500h8jAdr7LvzzXlm1qxtK,0.393,0.588,-6.68,0.0613,0.345,0.0,0.728,203.145
1551,Blitzkrieg Bop - 2016 Remaster,Ramones,spotify:track:4MOOVsqdKE9Eq0WskfaYdt,0.385,0.783,-2.533,0.233,0.000269,0.47,0.902,176.701
1552,Live Is Life (digitally remastered) - Single Version,Opus,spotify:track:5luOvrlnzfvJQdQjrScVj4,0.633,0.952,-4.274,0.0337,0.0532,1.73e-06,0.765,95.422
1553,The Old Man Down The Road,John Fogerty,spotify:track:0tkfgenYMiMQPIma894lgc,0.768,0.809,-5.816,0.0289,0.0271,0.000633,0.737,133.838
1554,Confidence Man,The Jeff Healey Band,spotify:track:4ttIPhRN2jRYCJtFsZa69P,0.56,0.927,-5.682,0.0715,0.182,0.0,0.868,116.236
1555,All Summer Long,Kid Rock,spotify:track:368S2jjTfDk9Hk9x9YDzwj,0.702,0.875,-3.588,0.0283,0.014,0.0,0.905,103.003
1556,Great Balls Of Fire,Jerry Lee Lewis,spotify:track:5UvE5QlINnvEc7aFO14DVL,0.4,0.818,-11.238,0.08,0.458,3.25e-06,0.936,166.287
1557,Lake Of Fire,Nirvana,spotify:track:4UJmPSJsBsIR1U0N79BU1g,0.541,0.618,-9.652,0.179,0.277,4.02e-05,0.68,145.464
1558,Where Did You Sleep Last Night,Nirvana,spotify:track:551qy5vUgrUfEUc4dCNfht,0.573,0.59,-8.43,0.0557,0.667,0.000397,0.364,108.789
1559,Dirty Deeds Done Dirt Cheap,AC/DC,spotify:track:2d4e45fmUnguxh6yqC7gNT,0.668,0.906,-4.881,0.17,0.214,0.00245,0.507,135.653
1560,Message In A Bottle,The Police,spotify:track:1oYYd2gnWZYrt89EBXdFiO,0.577,0.808,-7.04,0.039,0.0338,1.33e-05,0.869,151.008
1561,The Four Horsemen - Remastered,Metallica,spotify:track:2YTwVDQOSGclX2N3AKetOP,0.224,0.938,-6.907,0.408,0.00157,0.0765,0.327,203.79
1562,Fall into the Light,Dream Theater,spotify:track:3F8OmCcFxVdFsgo68JlBLu,0.27,0.96,-5.563,0.187,3.93e-05,0.0499,0.155,134.162
1563,Aqualung,Jethro Tull,spotify:track:5UuikgHTxSRFRnC0zXx10i,0.477,0.479,-11.887,0.0483,0.0649,0.029,0.662,122.531
1564,Welcome to the Machine,Pink Floyd,spotify:track:5VWC7v2dC2K0SIIjT9WTLN,0.382,0.36,-12.442,0.0365,0.52,0.171,0.0362,133.273
1565,Wake Up,Rage Against The Machine,spotify:track:2QiqwOVUctPRVggO9G1Zs5,0.411,0.893,-3.646,0.139,0.00563,0.00967,0.513,170.407
1566,One Night in Bangkok,Murray Head,spotify:track:6erBowZaW6Ur3vNOWhS2zM,0.892,0.578,-5.025,0.15,0.112,0.000315,0.621,108.703
1567,Voices,Disturbed,spotify:track:1jPgyViNE7djYSr1xEPlPJ,0.612,0.972,-4.328,0.0919,0.000303,0.00277,0.576,109.989
1568,The Game,Disturbed,spotify:track:4kpywGFDailKERiDjFUw5Y,0.653,0.931,-4.824,0.0735,0.000803,0.000289,0.444,132.009
1569,Whiplash - Remastered,Metallica,spotify:track:38fIaph07Kd8ZIN6l17ZJs,0.384,0.916,-6.468,0.0983,0.000611,0.422,0.192,158.042
1570,I Disappear,Metallica,spotify:track:46tSt69Xw10Ej8Rn7wJmFt,0.536,0.928,-3.64,0.0498,0.000213,6.56e-05,0.46,122.655
1571,Rock DJ,Robbie Williams,spotify:track:4pbyDPjFgfPqFTcIMC8xpK,0.708,0.772,-4.264,0.0322,0.0267,0.0,0.861,103.035
1572,Of Wolf And Man,Metallica,spotify:track:2J8jdenoxkPXs44G9xcncc,0.626,0.749,-7.746,0.0356,0.00106,0.0338,0.493,121.776
1573,Until It Sleeps,Metallica,spotify:track:2Iv4HSoMX2fDeXFcOJWyWX,0.568,0.92,-4.434,0.0297,0.000248,0.0714,0.719,113.394
1574,American Bad Ass,Kid Rock,spotify:track:1uxNeN5106dIHNA0iNKaNX,0.531,0.879,-5.815,0.123,0.000243,0.0,0.611,89.41
1575,"Situation - 12"" Remix",Yazoo,spotify:track:6tYhUkkjnsR0wRfHAM7cQD,0.76,0.411,-16.373,0.0588,0.00606,0.4,0.402,118.785
1576,"Machine Gun - Live At Fillmore East, 1970 / 50th Anniversary",Jimi Hendrix,spotify:track:3bepDVJI8tECicV9bDsSxt,0.334,0.689,-7.316,0.184,0.108,0.161,0.474,147.412
1577,Living In A Ghost Town,The Rolling Stones,spotify:track:5RrrQhJKKKMJt3wB5n2N3t,0.679,0.697,-5.369,0.0454,0.0148,0.0119,0.776,110.558
1578,Keep On Chooglin',Creedence Clearwater Revival,spotify:track:5IxWpMxgs2dWVbcKGedAt3,0.338,0.465,-9.634,0.0502,0.01,0.294,0.198,166.869
1579,Tiny Structures,Project AER,spotify:track:2G4Hn0ImKFvgQpVFzArEBc,0.632,0.405,-15.842,0.0295,0.868,0.931,0.163,133.984
1580,Lungomare,Nerok,spotify:track:1aIsJot4mS90orBE3s3xU8,0.664,0.425,-10.658,0.0386,0.423,0.877,0.314,79.979
1581,cafe p.m - Instrumental,Mr. Hong,spotify:track:5YCA5ipXo5GCYbYudOXOhu,0.83,0.445,-12.942,0.0449,0.22,0.86,0.295,120.001
1582,White Lake,t.Stratt,spotify:track:6LGuiEXFRjMxBApmg5rezo,0.519,0.195,-18.107,0.0322,0.828,0.894,0.116,71.039
1583,Where I'm Meant To Be,Project AER,spotify:track:5GCkijLJ7sxCDcAyYM81l4,0.75,0.291,-16.407,0.0459,0.744,0.936,0.464,74.998
1584,Reveries,Hoogway,spotify:track:3FMAtOkaVHiBWTBfXcZuMR,0.584,0.0702,-23.606,0.0355,0.927,0.839,0.299,128.016
1585,Flying Away,t.Stratt,spotify:track:6XehOpjVRy57L3375dHMSL,0.458,0.201,-14.775,0.0405,0.943,0.922,0.25,167.73
1586,Cold Love,HoKø,spotify:track:7p6nUhMC6GhqfUp1AeddF2,0.341,0.241,-18.381,0.104,0.857,0.643,0.143,63.158
1587,Tomorrow,Ricardo Schneider,spotify:track:2wL09fxOL6tGRG1PycRR07,0.822,0.235,-14.516,0.103,0.906,0.872,0.648,145.985
1588,The Great Indoors,Project AER,spotify:track:3yJhyRLoYdM3ywZh0TGcez,0.606,0.398,-11.518,0.0303,0.275,0.815,0.154,149.988
1589,Fresh,Maxgonz,spotify:track:5W4PhLHxVwsTwIC89UJiJj,0.529,0.441,-8.18,0.128,0.352,0.175,0.437,78.093
1590,pineapple express - Instrumental,Mr. Hong,spotify:track:5vz8K1D4TbqV6Hh2EaLVMp,0.786,0.384,-15.42,0.0757,0.177,0.582,0.497,120.037
1591,Spirit's Up,S N U G,spotify:track:3GnEo3Cj1d36tzn802aXkC,0.756,0.342,-14.669,0.0418,0.504,0.923,0.306,134.999
1592,Sparrow,WYS,spotify:track:6gEuAgbhhMl1lXg7Wj4d7L,0.499,0.0854,-17.883,0.0481,0.866,0.85,0.148,179.987
1593,lonely,Cotton Vibe,spotify:track:0nVcXgAy1T65WUDx9Aw8hz,0.728,0.292,-13.368,0.0497,0.908,0.875,0.344,129.967
1594,Left Alone,Kanisan,spotify:track:0PBIGtsUuR6Z1pQb2jvlgR,0.616,0.0868,-14.226,0.0486,0.231,0.838,0.184,167.805
1595,Picture The Sea,Project AER,spotify:track:6s0YvVRCxw3BaACVT4jpzM,0.664,0.35,-14.556,0.0354,0.722,0.886,0.146,142.036
1596,One for Winter,Prithvi,spotify:track:59YX6Ua934GKrKb7Jye5nv,0.55,0.22,-18.173,0.04,0.931,0.731,0.107,130.033
1597,Koyo,Dreweybear,spotify:track:2BGAIIZ3eKaUkWxgEMKM0U,0.662,0.424,-14.259,0.0622,0.197,0.193,0.405,78.004
1598,Pax Song,Chomachi,spotify:track:0ZHuXlWxtvEFw7eeVMLcI8,0.415,0.625,-9.162,0.0714,0.274,0.356,0.185,84.9
1599,Ceiling Stars,Project AER,spotify:track:3dGnxQdExz9kcjHo8cc1a7,0.753,0.366,-15.617,0.0522,0.791,0.933,0.215,139.991
1600,Broken Clock,.ihaveaface,spotify:track:7DOSuPOPxm5oqxQGuWS8ht,0.694,0.339,-12.489,0.0453,0.146,0.85,0.12,85.038
1601,It's Snowing Outside,Pusaloa,spotify:track:1N0GS46qGpwDNohfAsn9wj,0.621,0.171,-17.115,0.0634,0.899,0.833,0.112,156.032
1602,A Shoulder For Olivia,Gadget,spotify:track:4UGOvHP2QaRorzsRLlxCgA,0.614,0.36,-8.695,0.0471,0.00869,0.874,0.206,94.987
1603,Dozy,Vyn,spotify:track:3y7jYZvJVCxoEFnA7QuQF8,0.68,0.312,-12.725,0.0351,0.0698,0.725,0.0368,127.982
1604,Rüya,Kanisan,spotify:track:2mvHb6aOo8UrPi0NLD9xOJ,0.611,0.195,-16.689,0.0372,0.828,0.852,0.169,80.009
1605,coffee,ProdCalius,spotify:track:0BrNaslSm453K1uzAzQucJ,0.487,0.223,-12.318,0.0275,0.875,0.924,0.0795,90.041
1606,Overtime,DeKobe,spotify:track:69zut15JzDg3guZc4H3SI4,0.792,0.162,-10.219,0.0836,0.65,0.731,0.771,85.098
1607,raindrops,ブロックル,spotify:track:1FPCeYVJEAkapS9H56TEYY,0.522,0.276,-15.199,0.0459,0.787,0.733,0.41,146.039
1608,Come Walk With Me,Hara,spotify:track:4Fsevlvs6cfFbrMXVuWW66,0.638,0.0906,-21.366,0.068,0.821,0.82,0.0912,67.992
1609,Bubbles,Téhu,spotify:track:4Gyjo7iuFdWdyQLMu01fkl,0.59,0.381,-11.612,0.033,0.227,0.902,0.169,80.009
1610,Illuminated Springs,Kainbeats,spotify:track:4kMy45c5zQEDsGhe42OorW,0.666,0.227,-14.086,0.0471,0.891,0.882,0.178,79.994
1611,Sweet Afternoon,Nom Tunes,spotify:track:4aJzH4jvJJs5kPMOuQHH3O,0.768,0.415,-14.208,0.0337,0.906,0.891,0.351,122.038
1612,Still Chillin',Rysid,spotify:track:2Dv5w9Q0MR50CHd9Q2vJKL,0.639,0.367,-8.626,0.147,0.0337,0.386,0.501,159.756
1613,Blowing,Greenfinch,spotify:track:00YBq8lxTkIhniEfldYjTy,0.618,0.392,-13.748,0.0256,0.845,0.623,0.226,109.504
1614,Twilight Dance,Kainbeats,spotify:track:3CjGwMkiz9Ti7Dg4CB0f3j,0.712,0.235,-18.077,0.0462,0.921,0.948,0.317,75.038
1615,open late - Instrumental,Mr. Hong,spotify:track:78ubalnYoV72im1XEtmtvw,0.674,0.341,-15.747,0.049,0.199,0.882,0.303,119.999
1616,7Days Sea,greenface,spotify:track:66fMiI0ckwwQu4r02fxVyK,0.475,0.419,-12.711,0.0275,0.087,0.669,0.138,78.211
1617,Waterfall,Dreweybear,spotify:track:1EdWcQuX168wdWriVcEahX,0.571,0.32,-11.944,0.0282,0.788,0.857,0.174,82.009
1618,Caribou,Alazko,spotify:track:5vNvICoCZ5J8gS8gzMmNsD,0.765,0.368,-13.953,0.112,0.881,0.885,0.234,120.01
1619,Winter's Tale,S N U G,spotify:track:617jPMqUPGRs16tWKwfXZ8,0.862,0.236,-12.752,0.0508,0.75,0.923,0.504,146.06
1620,Likesomeoneinluv,Bare Beats,spotify:track:4CaXZ6St92IgyaYijKGyjg,0.682,0.25,-11.408,0.1,0.901,0.524,0.04,144.054
1621,You Never Know,C4C,spotify:track:4wSY2qQb8DTi3OMz8g0jEy,0.602,0.0666,-27.116,0.0577,0.841,0.476,0.612,80.001
1622,Jazzy,Rin Ishi,spotify:track:68Trozo1C1RCQUKdvTLBR8,0.801,0.395,-10.943,0.0796,0.683,0.912,0.302,100.029
1623,Palos Verdes,Vannorte,spotify:track:2XbYiBv3DnD1PU5JAhhGkx,0.688,0.401,-14.08,0.039,0.345,0.515,0.224,121.35
1624,Sunny Day at the Beach,Nom Tunes,spotify:track:6z78m8sBuM2BkhDd1V6vwE,0.874,0.691,-10.371,0.0505,0.892,0.839,0.875,101.99
1625,Coffee Bean,JazzyCal,spotify:track:0XxQvozEWC7LcK4wFrVg88,0.705,0.283,-15.073,0.0717,0.438,0.598,0.103,80.002
1626,sunday morning,ProdCalius,spotify:track:6n1iRTkFcKEbuiXgESTdhZ,0.559,0.244,-14.807,0.0238,0.382,0.859,0.281,90.002
1627,World Beyond the Clouds,Nom Tunes,spotify:track:3qJbWU8DBnDIVUGab83a33,0.666,0.464,-10.581,0.0344,0.898,0.943,0.333,156.043
1628,Passengers,Nogymx,spotify:track:6usHFnYQ8pkzMcBsa7g0Yk,0.825,0.387,-16.554,0.067,0.39,0.903,0.428,134.514
1629,Nap,Darsena,spotify:track:41ll4wIlJGl3diRAEUeV9F,0.84,0.291,-15.205,0.0579,0.841,0.893,0.0857,125.016
1630,Lotus,SenS,spotify:track:06GQ2Atn32wn6DKyFhRjPr,0.598,0.356,-14.578,0.0357,0.81,0.922,0.203,86.984
1631,Blessed,KVMTZ,spotify:track:7DLwRVkizXh8jBRBzpEzyG,0.728,0.283,-14.286,0.0595,0.665,0.805,0.429,90.0
1632,Morning Walks,Happytear,spotify:track:6WJLrZFd7dv0dtPX7dbTUs,0.644,0.326,-18.566,0.0546,0.919,0.927,0.102,79.986
1633,Underwater,Refeeld,spotify:track:0OyahZ1nf3JdHHfDGs3JkH,0.623,0.161,-14.969,0.031,0.92,0.891,0.276,88.023
1634,from far away,Bace,spotify:track:7HcEB4qnFqzxdA453nNyTy,0.792,0.284,-14.61,0.0524,0.238,0.94,0.184,85.997
1635,Tent City,Trog'low,spotify:track:7LcliWhIaZ4n6PfjaI2UxH,0.617,0.531,-9.121,0.0852,0.0685,0.874,0.92,78.966
1636,Lavras,Ricardo Schneider,spotify:track:2B3Mtso8CGmCy8RqlsdLxR,0.723,0.347,-13.862,0.074,0.397,0.192,0.497,83.0
1637,Kilika,Enzalla,spotify:track:0pdhVBEDvtKDLcJgGt1M0e,0.437,0.29,-17.185,0.0377,0.924,0.332,0.21,75.396
1638,Some Kinda Way,Manocchs,spotify:track:7D7PgN9BaCM0Kk4iW3iim6,0.726,0.14,-13.109,0.135,0.356,0.934,0.279,80.067
1639,Open the Door,Bagira,spotify:track:5lx5BaiwxFrjj3UjcPlp2q,0.683,0.147,-19.474,0.104,0.524,0.859,0.0585,160.158
1640,Waltz of the Waves,Kainbeats,spotify:track:15PCXDZP82t6lIGmlcLmeL,0.697,0.308,-15.626,0.0328,0.949,0.963,0.386,88.045
1641,Moonlight,GlobulDub,spotify:track:2SxQ57dNKzKYVJKQxUdbuM,0.65,0.532,-12.911,0.399,0.754,0.866,0.453,140.02
1642,Comfort Zone,Skinnista,spotify:track:6OhjiSUbWaUZC8OOAmWAtB,0.636,0.243,-11.357,0.0566,0.023,0.938,0.683,84.011
1643,Thallium,ICBM,spotify:track:5Ew2NhiTECsssicYNqaCGW,0.725,0.457,-11.042,0.0938,0.344,0.219,0.332,78.997
1644,Shinjuku,Tophat Panda,spotify:track:2KdmQXvYCofVLuvckWKCyN,0.405,0.437,-12.112,0.0465,0.634,0.955,0.102,172.065
1645,hold the elevator!,Mr. Hong,spotify:track:5joWMvLoF5mDyylkbtH0v4,0.502,0.423,-8.114,0.0267,0.00916,0.958,0.149,130.01
1646,Nightlife,P.R.,spotify:track:6L9Zj0MzgLhtUizekzJal1,0.822,0.476,-10.565,0.0799,0.27,0.874,0.787,173.996
1647,Evolving,Ningen,spotify:track:4e0sorDFTg034rRfSesSr8,0.911,0.373,-9.528,0.0487,0.872,0.836,0.337,98.974
1648,Fuji,SenS,spotify:track:2KrVWR9FtFZq7Arks2KLoV,0.571,0.475,-10.219,0.0585,0.147,0.659,0.0563,84.966
1649,When The Heart Beats,Charlee Nguyen,spotify:track:1FD4XEKWySPaIwsKANPo8q,0.594,0.429,-16.446,0.0292,0.512,0.224,0.554,132.054
1650,Coffee Break,Goson,spotify:track:6YhaGbZo4XoIQkHNsrpkLk,0.703,0.309,-10.879,0.0337,0.66,0.399,0.507,85.014
1651,Vibezin,Grandmaster Faff,spotify:track:2060ltUzn4yZ4alocchod8,0.739,0.342,-14.855,0.0337,0.0732,0.569,0.88,90.006
1652,Rainy Day,Tophat Panda,spotify:track:3sUbsUAZfm2qXhlFcwUNf8,0.549,0.481,-11.802,0.0451,0.792,0.919,0.08,80.003
1653,Dusk to Dawn,Elijah Lee,spotify:track:1m0eozXJstQ9HEjV6Eruma,0.662,0.388,-15.765,0.0383,0.573,0.698,0.212,139.975
1654,always on my mind,youji,spotify:track:4H1d8wolMMpfaFYDO1zDNY,0.67,0.146,-13.175,0.0898,0.837,0.847,0.538,150.071
1655,Nourish,Yestalgia,spotify:track:1AtPzw458O0tAWDh5ch6Sj,0.746,0.164,-9.851,0.284,0.743,0.889,0.32,80.152
1656,Surface,Says Who?,spotify:track:7jMEV0JhhKmv4xcZ40untI,0.732,0.163,-12.534,0.0671,0.566,0.882,0.506,146.262
1657,Clouds,Pabzzz,spotify:track:2qwXClvd8XM02ssO3jU3a2,0.699,0.278,-11.393,0.0835,0.799,0.891,0.476,80.141
1658,Dancing Amidst Clouds,Enzalla,spotify:track:2mPl1y3tJH4VbNLP7eQ1mB,0.404,0.147,-18.838,0.032,0.786,0.938,0.0367,82.497
1659,A New Chapter,Nom Tunes,spotify:track:2gFaxXvsSwztuF4QaZvPTY,0.744,0.528,-13.394,0.0412,0.912,0.898,0.65,76.049
1660,Letter,Tesk,spotify:track:4jYJV3rxH5XiVfwH8pdbDM,0.495,0.364,-8.503,0.0394,0.771,0.594,0.358,172.058
1661,Peace Meeting,Generantman,spotify:track:52SolIh5EgP6eQOG4daYih,0.646,0.315,-13.338,0.0319,0.837,0.909,0.342,86.008
1662,Lost & Found,Hara,spotify:track:4zSWxjzjmfL6P7s4flHwa5,0.405,0.336,-23.211,0.148,0.315,0.798,0.333,178.623
1663,Reconnect,Boyan,spotify:track:3tj9ZLVwyrZr58aZHNhJw2,0.416,0.357,-10.019,0.0496,0.0503,0.88,0.287,79.97
1664,Nostalgia,Tune in with Chewie,spotify:track:70CaZcDfp68niaBvxr4cTg,0.729,0.238,-17.962,0.085,0.562,0.917,0.0874,140.037
1665,Rainfall,Maxgonz,spotify:track:07pzjeYhYHtH46ubD7u2av,0.702,0.409,-9.869,0.0583,0.381,0.79,0.612,88.009
1666,Alfresco,Bcalm,spotify:track:2RWDO3rHNWggWQ45BzoZZk,0.652,0.514,-10.014,0.0398,0.516,0.899,0.318,168.566
1667,Respiration,DJ Mentos,spotify:track:57Yod64WoMLLGobjJ7ZDWl,0.73,0.685,-6.916,0.0367,0.221,0.896,0.324,169.895
1668,Ethereal Traces,Sillage,spotify:track:6z8nJgGyeCaqV5Ibo4FUgQ,0.408,0.202,-16.267,0.0891,0.788,0.886,0.206,82.088
1669,Beauty Around You,Hara,spotify:track:66RhxzQr3973DNErUVxiKw,0.601,0.0539,-21.023,0.0512,0.987,0.953,0.329,150.098
1670,Crate Diggers,DeKobe,spotify:track:3hYozPkCtaS9bvPvAzqJVB,0.843,0.411,-9.101,0.0361,0.00205,0.923,0.613,94.999
1671,Twilight Liquor,Park Lane O.G'S,spotify:track:0RCaCxwKBD0z2gKpY54GYc,0.702,0.473,-6.24,0.172,0.0466,0.225,0.504,192.033
1672,Childhood Dreams,Nom Tunes,spotify:track:2e91421VLUCXHPcem2rR4U,0.694,0.477,-10.346,0.0334,0.845,0.895,0.326,82.001
1673,love actually,Cotton Vibe,spotify:track:2y0lz9hKbQwCIvs4l3vB5h,0.74,0.42,-9.357,0.0563,0.903,0.91,0.34,80.009
1674,Self-Explanatory,Straim,spotify:track:7ud8v2uSdsB2KiW38YtmdD,0.732,0.624,-7.092,0.058,0.785,0.882,0.205,93.005
1675,I bumped into you in the hallway,Osaki,spotify:track:2G5u8UOBIYqqvl4qbGEfh4,0.675,0.252,-14.481,0.0299,0.88,0.877,0.0703,146.055
1676,Evening Lights,Prithvi,spotify:track:74yfxruTdkzvL7tmc5P3yZ,0.677,0.17,-16.327,0.0391,0.74,0.874,0.144,119.986
1677,fireplace,steezy prime,spotify:track:5ISPxCIIkoRNpTQDatzeXQ,0.647,0.305,-13.41,0.0344,0.824,0.898,0.568,144.009
1678,Static Second,RINZ.,spotify:track:3YvfHcbz9qTa0MGBR7Q05R,0.822,0.305,-14.684,0.0743,0.75,0.867,0.199,82.974
1679,Worldwide Baby,Pawcut,spotify:track:0xvPah7oQl0sfNLb1pacnv,0.562,0.441,-12.603,0.0355,0.0868,0.569,0.433,69.07
1680,Incense,Dragon Roots,spotify:track:4E0gu4a7j1Uji79qolCaZo,0.463,0.516,-8.886,0.0648,0.683,0.378,0.266,162.039
1681,Malibu - Acoustic,Maygen Lacey,spotify:track:2UpFox08IH0MzS7Q3iklBL,0.725,0.161,-12.642,0.0391,0.95,4.85e-05,0.0879,112.054
1682,Scared To Be Lonely - Acoustic,Thomas Daniel,spotify:track:2R0Z1JwgoCsBeoWErbAHgs,0.587,0.36,-7.711,0.0366,0.586,0.0,0.408,137.921
1683,Get Lucky - Acoustic,Linn Brikell,spotify:track:2aXBORgLuv2czaJVyeLOl7,0.305,0.275,-10.161,0.0358,0.791,2.95e-06,0.137,175.102
1684,City of Stars,Gavin James,spotify:track:0KQnOjW6AP1LECHd18xjFj,0.531,0.116,-11.157,0.0548,0.934,0.0,0.176,117.469
1685,"I'm Not the Only One - Live from Spotify, London",Dua Lipa,spotify:track:7wIYDzWW82O6Rc4vGuzjND,0.455,0.265,-8.468,0.0491,0.861,0.0,0.324,176.036
1686,We Found Love,Michael Shynes,spotify:track:7ggLvZ7Ot5bfayAva458kA,0.682,0.0907,-16.614,0.0363,0.892,0.0,0.219,100.107
1687,Cryin',Sarah Menescal,spotify:track:3E7opp3zWp1lm0Y0vHWDxb,0.847,0.398,-12.355,0.0317,0.148,0.000323,0.606,120.02
